C769  A9 40     LDA #$40                        A:40 X:00 Y:00 P:24 SP:FB PPU:  0, 00 CYC:0
C76B  D0 04     BNE $C771                       A:40 X:00 Y:00 P:24 SP:FB PPU:  0, 00 CYC:0
C771  EA        NOP                             A:40 X:00 Y:00 P:24 SP:FB PPU:  0, 00 CYC:0
C772  A9 00     LDA #$00                        A:40 X:00 Y:00 P:24 SP:FB PPU:  0, 00 CYC:0
C774  D0 03     BNE $C779                       A:00 X:00 Y:00 P:26 SP:FB PPU:  0, 00 CYC:0
C776  4C 7D C7  JMP $C77D                       A:00 X:00 Y:00 P:26 SP:FB PPU:  0, 00 CYC:0
C77D  EA        NOP                             A:00 X:00 Y:00 P:26 SP:FB PPU:  0, 00 CYC:0
C77E  A9 FF     LDA #$FF                        A:00 X:00 Y:00 P:26 SP:FB PPU:  0, 00 CYC:0
C780  85 01     STA $01 = 00                    A:FF X:00 Y:00 P:A4 SP:FB PPU:  0, 00 CYC:0
C782  24 01     BIT $01 = 00                    A:FF X:00 Y:00 P:A4 SP:FB PPU:  0, 00 CYC:0
C784  70 04     BVS $C78A                       A:FF X:00 Y:00 P:E4 SP:FB PPU:  0, 00 CYC:0
C78A  EA        NOP                             A:FF X:00 Y:00 P:E4 SP:FB PPU:  0, 00 CYC:0
C78B  24 01     BIT $01 = 00                    A:FF X:00 Y:00 P:E4 SP:FB PPU:  0, 00 CYC:0
C78D  50 03     BVC $C792                       A:FF X:00 Y:00 P:E4 SP:FB PPU:  0, 00 CYC:0
C78F  4C 96 C7  JMP $C796                       A:FF X:00 Y:00 P:E4 SP:FB PPU:  0, 00 CYC:0
C796  EA        NOP                             A:FF X:00 Y:00 P:E4 SP:FB PPU:  0, 00 CYC:0
C797  A9 00     LDA #$00                        A:FF X:00 Y:00 P:E4 SP:FB PPU:  0, 00 CYC:0
C799  85 01     STA $01 = 00                    A:00 X:00 Y:00 P:66 SP:FB PPU:  0, 00 CYC:0
C79B  24 01     BIT $01 = 00                    A:00 X:00 Y:00 P:66 SP:FB PPU:  0, 00 CYC:0
C79D  50 04     BVC $C7A3                       A:00 X:00 Y:00 P:26 SP:FB PPU:  0, 00 CYC:0
C7A3  EA        NOP                             A:00 X:00 Y:00 P:26 SP:FB PPU:  0, 00 CYC:0
C7A4  24 01     BIT $01 = 00                    A:00 X:00 Y:00 P:26 SP:FB PPU:  0, 00 CYC:0
C7A6  70 03     BVS $C7AB                       A:00 X:00 Y:00 P:26 SP:FB PPU:  0, 00 CYC:0
C7A8  4C AF C7  JMP $C7AF                       A:00 X:00 Y:00 P:26 SP:FB PPU:  0, 00 CYC:0
C7AF  EA        NOP                             A:00 X:00 Y:00 P:26 SP:FB PPU:  0, 00 CYC:0
C7B0  A9 00     LDA #$00                        A:00 X:00 Y:00 P:26 SP:FB PPU:  0, 00 CYC:0
C7B2  10 04     BPL $C7B8                       A:00 X:00 Y:00 P:26 SP:FB PPU:  0, 00 CYC:0
C7B8  EA        NOP                             A:00 X:00 Y:00 P:26 SP:FB PPU:  0, 00 CYC:0
C7B9  A9 80     LDA #$80                        A:00 X:00 Y:00 P:26 SP:FB PPU:  0, 00 CYC:0
C7BB  10 03     BPL $C7C0                       A:80 X:00 Y:00 P:A4 SP:FB PPU:  0, 00 CYC:0
C7BD  4C D9 C7  JMP $C7D9                       A:80 X:00 Y:00 P:A4 SP:FB PPU:  0, 00 CYC:0
C7D9  EA        NOP                             A:80 X:00 Y:00 P:A4 SP:FB PPU:  0, 00 CYC:0
C7DA  60        RTS                             A:80 X:00 Y:00 P:A4 SP:FB PPU:  0, 00 CYC:0
C600  20 DB C7  JSR $C7DB                       A:80 X:00 Y:00 P:A4 SP:FD PPU:  0, 00 CYC:0
C7DB  EA        NOP                             A:80 X:00 Y:00 P:A4 SP:FB PPU:  0, 00 CYC:0
C7DC  A9 FF     LDA #$FF                        A:80 X:00 Y:00 P:A4 SP:FB PPU:  0, 00 CYC:0
C7DE  85 01     STA $01 = 00                    A:FF X:00 Y:00 P:A4 SP:FB PPU:  0, 00 CYC:0
C7E0  24 01     BIT $01 = 00                    A:FF X:00 Y:00 P:A4 SP:FB PPU:  0, 00 CYC:0
C7E2  A9 00     LDA #$00                        A:FF X:00 Y:00 P:E4 SP:FB PPU:  0, 00 CYC:0
C7E4  38        SEC                             A:00 X:00 Y:00 P:66 SP:FB PPU:  0, 00 CYC:0
C7E5  78        SEI                             A:00 X:00 Y:00 P:67 SP:FB PPU:  0, 00 CYC:0
C7E6  F8        SED                             A:00 X:00 Y:00 P:67 SP:FB PPU:  0, 00 CYC:0
C7E7  08        PHP                             A:00 X:00 Y:00 P:6F SP:FB PPU:  0, 00 CYC:0
C7E8  68        PLA                             A:00 X:00 Y:00 P:6F SP:FA PPU:  0, 00 CYC:0
C7E9  29 EF     AND #$EF                        A:7F X:00 Y:00 P:6D SP:FB PPU:  0, 00 CYC:0
C7EB  C9 6F     CMP #$6F                        A:6F X:00 Y:00 P:6D SP:FB PPU:  0, 00 CYC:0
C7ED  F0 04     BEQ $C7F3                       A:6F X:00 Y:00 P:6F SP:FB PPU:  0, 00 CYC:0
C7F3  EA        NOP                             A:6F X:00 Y:00 P:6F SP:FB PPU:  0, 00 CYC:0
C7F4  A9 40     LDA #$40                        A:6F X:00 Y:00 P:6F SP:FB PPU:  0, 00 CYC:0
C7F6  85 01     STA $01 = 00                    A:40 X:00 Y:00 P:6D SP:FB PPU:  0, 00 CYC:0
C7F8  24 01     BIT $01 = 00                    A:40 X:00 Y:00 P:6D SP:FB PPU:  0, 00 CYC:0
C7FA  D8        CLD                             A:40 X:00 Y:00 P:6D SP:FB PPU:  0, 00 CYC:0
C7FB  A9 10     LDA #$10                        A:40 X:00 Y:00 P:65 SP:FB PPU:  0, 00 CYC:0
C7FD  18        CLC                             A:10 X:00 Y:00 P:65 SP:FB PPU:  0, 00 CYC:0
C7FE  08        PHP                             A:10 X:00 Y:00 P:64 SP:FB PPU:  0, 00 CYC:0
C7FF  68        PLA                             A:10 X:00 Y:00 P:64 SP:FA PPU:  0, 00 CYC:0
C800  29 EF     AND #$EF                        A:74 X:00 Y:00 P:64 SP:FB PPU:  0, 00 CYC:0
C802  C9 64     CMP #$64                        A:64 X:00 Y:00 P:64 SP:FB PPU:  0, 00 CYC:0
C804  F0 04     BEQ $C80A                       A:64 X:00 Y:00 P:67 SP:FB PPU:  0, 00 CYC:0
C80A  EA        NOP                             A:64 X:00 Y:00 P:67 SP:FB PPU:  0, 00 CYC:0
C80B  A9 80     LDA #$80                        A:64 X:00 Y:00 P:67 SP:FB PPU:  0, 00 CYC:0
C80D  85 01     STA $01 = 00                    A:80 X:00 Y:00 P:E5 SP:FB PPU:  0, 00 CYC:0
C80F  24 01     BIT $01 = 00                    A:80 X:00 Y:00 P:E5 SP:FB PPU:  0, 00 CYC:0
C811  F8        SED                             A:80 X:00 Y:00 P:A5 SP:FB PPU:  0, 00 CYC:0
C812  A9 00     LDA #$00                        A:80 X:00 Y:00 P:AD SP:FB PPU:  0, 00 CYC:0
C814  38        SEC                             A:00 X:00 Y:00 P:2F SP:FB PPU:  0, 00 CYC:0
C815  08        PHP                             A:00 X:00 Y:00 P:2F SP:FB PPU:  0, 00 CYC:0
C816  68        PLA                             A:00 X:00 Y:00 P:2F SP:FA PPU:  0, 00 CYC:0
C817  29 EF     AND #$EF                        A:3F X:00 Y:00 P:2D SP:FB PPU:  0, 00 CYC:0
