F933  A9 40     LDA #$40                        A:55 X:AA Y:71 P:E4 SP:F9 PPU:  0, 00 CYC:0
F935  38        SEC                             A:40 X:AA Y:71 P:64 SP:F9 PPU:  0, 00 CYC:0
F936  60        RTS                             A:40 X:AA Y:71 P:65 SP:F9 PPU:  0, 00 CYC:0
CBB4  E9 40     SBC #$40                        A:40 X:AA Y:71 P:65 SP:FB PPU:  0, 00 CYC:0
CBB6  20 37 F9  JSR $F937                       A:00 X:AA Y:71 P:27 SP:FB PPU:  0, 00 CYC:0
F937  30 0B     BMI $F944                       A:00 X:AA Y:71 P:27 SP:F9 PPU:  0, 00 CYC:0
F939  90 09     BCC $F944                       A:00 X:AA Y:71 P:27 SP:F9 PPU:  0, 00 CYC:0
F93B  D0 07     BNE $F944                       A:00 X:AA Y:71 P:27 SP:F9 PPU:  0, 00 CYC:0
F93D  70 05     BVS $F944                       A:00 X:AA Y:71 P:27 SP:F9 PPU:  0, 00 CYC:0
F93F  C9 00     CMP #$00                        A:00 X:AA Y:71 P:27 SP:F9 PPU:  0, 00 CYC:0
F941  D0 01     BNE $F944                       A:00 X:AA Y:71 P:27 SP:F9 PPU:  0, 00 CYC:0
F943  60        RTS                             A:00 X:AA Y:71 P:27 SP:F9 PPU:  0, 00 CYC:0
CBB9  C8        INY                             A:00 X:AA Y:71 P:27 SP:FB PPU:  0, 00 CYC:0
CBBA  20 47 F9  JSR $F947                       A:00 X:AA Y:72 P:25 SP:FB PPU:  0, 00 CYC:0
F947  B8        CLV                             A:00 X:AA Y:72 P:25 SP:F9 PPU:  0, 00 CYC:0
F948  38        SEC                             A:00 X:AA Y:72 P:25 SP:F9 PPU:  0, 00 CYC:0
F949  A9 40     LDA #$40                        A:00 X:AA Y:72 P:25 SP:F9 PPU:  0, 00 CYC:0
F94B  60        RTS                             A:40 X:AA Y:72 P:25 SP:F9 PPU:  0, 00 CYC:0
CBBD  E9 3F     SBC #$3F                        A:40 X:AA Y:72 P:25 SP:FB PPU:  0, 00 CYC:0
CBBF  20 4C F9  JSR $F94C                       A:01 X:AA Y:72 P:25 SP:FB PPU:  0, 00 CYC:0
F94C  F0 0B     BEQ $F959                       A:01 X:AA Y:72 P:25 SP:F9 PPU:  0, 00 CYC:0
F94E  30 09     BMI $F959                       A:01 X:AA Y:72 P:25 SP:F9 PPU:  0, 00 CYC:0
F950  90 07     BCC $F959                       A:01 X:AA Y:72 P:25 SP:F9 PPU:  0, 00 CYC:0
F952  70 05     BVS $F959                       A:01 X:AA Y:72 P:25 SP:F9 PPU:  0, 00 CYC:0
F954  C9 01     CMP #$01                        A:01 X:AA Y:72 P:25 SP:F9 PPU:  0, 00 CYC:0
F956  D0 01     BNE $F959                       A:01 X:AA Y:72 P:27 SP:F9 PPU:  0, 00 CYC:0
F958  60        RTS                             A:01 X:AA Y:72 P:27 SP:F9 PPU:  0, 00 CYC:0
CBC2  C8        INY                             A:01 X:AA Y:72 P:27 SP:FB PPU:  0, 00 CYC:0
CBC3  20 5C F9  JSR $F95C                       A:01 X:AA Y:73 P:25 SP:FB PPU:  0, 00 CYC:0
F95C  A9 40     LDA #$40                        A:01 X:AA Y:73 P:25 SP:F9 PPU:  0, 00 CYC:0
F95E  38        SEC                             A:40 X:AA Y:73 P:25 SP:F9 PPU:  0, 00 CYC:0
F95F  24 01     BIT $01 = 00                    A:40 X:AA Y:73 P:25 SP:F9 PPU:  0, 00 CYC:0
F961  60        RTS                             A:40 X:AA Y:73 P:E5 SP:F9 PPU:  0, 00 CYC:0
CBC6  E9 41     SBC #$41                        A:40 X:AA Y:73 P:E5 SP:FB PPU:  0, 00 CYC:0
CBC8  20 62 F9  JSR $F962                       A:FF X:AA Y:73 P:A4 SP:FB PPU:  0, 00 CYC:0
F962  B0 0B     BCS $F96F                       A:FF X:AA Y:73 P:A4 SP:F9 PPU:  0, 00 CYC:0
F964  F0 09     BEQ $F96F                       A:FF X:AA Y:73 P:A4 SP:F9 PPU:  0, 00 CYC:0
F966  10 07     BPL $F96F                       A:FF X:AA Y:73 P:A4 SP:F9 PPU:  0, 00 CYC:0
F968  70 05     BVS $F96F                       A:FF X:AA Y:73 P:A4 SP:F9 PPU:  0, 00 CYC:0
F96A  C9 FF     CMP #$FF                        A:FF X:AA Y:73 P:A4 SP:F9 PPU:  0, 00 CYC:0
F96C  D0 01     BNE $F96F                       A:FF X:AA Y:73 P:27 SP:F9 PPU:  0, 00 CYC:0
F96E  60        RTS                             A:FF X:AA Y:73 P:27 SP:F9 PPU:  0, 00 CYC:0
CBCB  C8        INY                             A:FF X:AA Y:73 P:27 SP:FB PPU:  0, 00 CYC:0
CBCC  20 72 F9  JSR $F972                       A:FF X:AA Y:74 P:25 SP:FB PPU:  0, 00 CYC:0
F972  18        CLC                             A:FF X:AA Y:74 P:25 SP:F9 PPU:  0, 00 CYC:0
F973  A9 80     LDA #$80                        A:FF X:AA Y:74 P:24 SP:F9 PPU:  0, 00 CYC:0
F975  60        RTS                             A:80 X:AA Y:74 P:A4 SP:F9 PPU:  0, 00 CYC:0
CBCF  E9 00     SBC #$00                        A:80 X:AA Y:74 P:A4 SP:FB PPU:  0, 00 CYC:0
CBD1  20 76 F9  JSR $F976                       A:7F X:AA Y:74 P:65 SP:FB PPU:  0, 00 CYC:0
F976  90 05     BCC $F97D                       A:7F X:AA Y:74 P:65 SP:F9 PPU:  0, 00 CYC:0
F978  C9 7F     CMP #$7F                        A:7F X:AA Y:74 P:65 SP:F9 PPU:  0, 00 CYC:0
F97A  D0 01     BNE $F97D                       A:7F X:AA Y:74 P:67 SP:F9 PPU:  0, 00 CYC:0
F97C  60        RTS                             A:7F X:AA Y:74 P:67 SP:F9 PPU:  0, 00 CYC:0
CBD4  C8        INY                             A:7F X:AA Y:74 P:67 SP:FB PPU:  0, 00 CYC:0
CBD5  20 80 F9  JSR $F980                       A:7F X:AA Y:75 P:65 SP:FB PPU:  0, 00 CYC:0
F980  38        SEC                             A:7F X:AA Y:75 P:65 SP:F9 PPU:  0, 00 CYC:0
F981  A9 81     LDA #$81                        A:7F X:AA Y:75 P:65 SP:F9 PPU:  0, 00 CYC:0
F983  60        RTS                             A:81 X:AA Y:75 P:E5 SP:F9 PPU:  0, 00 CYC:0
CBD8  E9 7F     SBC #$7F                        A:81 X:AA Y:75 P:E5 SP:FB PPU:  0, 00 CYC:0
CBDA  20 84 F9  JSR $F984                       A:02 X:AA Y:75 P:65 SP:FB PPU:  0, 00 CYC:0
F984  50 07     BVC $F98D                       A:02 X:AA Y:75 P:65 SP:F9 PPU:  0, 00 CYC:0
F986  90 05     BCC $F98D                       A:02 X:AA Y:75 P:65 SP:F9 PPU:  0, 00 CYC:0
F988  C9 02     CMP #$02                        A:02 X:AA Y:75 P:65 SP:F9 PPU:  0, 00 CYC:0
F98A  D0 01     BNE $F98D                       A:02 X:AA Y:75 P:67 SP:F9 PPU:  0, 00 CYC:0
F98C  60        RTS                             A:02 X:AA Y:75 P:67 SP:F9 PPU:  0, 00 CYC:0
CBDD  60        RTS                             A:02 X:AA Y:75 P:67 SP:FB PPU:  0, 00 CYC:0
C606  20 DE CB  JSR $CBDE                       A:02 X:AA Y:75 P:67 SP:FD PPU:  0, 00 CYC:0
CBDE  EA        NOP                             A:02 X:AA Y:75 P:67 SP:FB PPU:  0, 00 CYC:0
CBDF  A9 FF     LDA #$FF                        A:02 X:AA Y:75 P:67 SP:FB PPU:  0, 00 CYC:0
CBE1  85 01     STA $01 = 00                    A:FF X:AA Y:75 P:E5 SP:FB PPU:  0, 00 CYC:0
CBE3  A9 44     LDA #$44                        A:FF X:AA Y:75 P:E5 SP:FB PPU:  0, 00 CYC:0
CBE5  A2 55     LDX #$55                        A:44 X:AA Y:75 P:65 SP:FB PPU:  0, 00 CYC:0
CBE7  A0 66     LDY #$66                        A:44 X:55 Y:75 P:65 SP:FB PPU:  0, 00 CYC:0
CBE9  E8        INX                             A:44 X:55 Y:66 P:65 SP:FB PPU:  0, 00 CYC:0
CBEA  88        DEY                             A:44 X:56 Y:66 P:65 SP:FB PPU:  0, 00 CYC:0
CBEB  E0 56     CPX #$56                        A:44 X:56 Y:65 P:65 SP:FB PPU:  0, 00 CYC:0
CBED  D0 21     BNE $CC10                       A:44 X:56 Y:65 P:67 SP:FB PPU:  0, 00 CYC:0
CBEF  C0 65     CPY #$65                        A:44 X:56 Y:65 P:67 SP:FB PPU:  0, 00 CYC:0
CBF1  D0 1D     BNE $CC10                       A:44 X:56 Y:65 P:67 SP:FB PPU:  0, 00 CYC:0
CBF3  E8        INX                             A:44 X:56 Y:65 P:67 SP:FB PPU:  0, 00 CYC:0
CBF4  E8        INX                             A:44 X:57 Y:65 P:65 SP:FB PPU:  0, 00 CYC:0
CBF5  88        DEY                             A:44 X:58 Y:65 P:65 SP:FB PPU:  0, 00 CYC:0
CBF6  88        DEY                             A:44 X:58 Y:64 P:65 SP:FB PPU:  0, 00 CYC:0
CBF7  E0 58     CPX #$58                        A:44 X:58 Y:63 P:65 SP:FB PPU:  0, 00 CYC:0
CBF9  D0 15     BNE $CC10                       A:44 X:58 Y:63 P:67 SP:FB PPU:  0, 00 CYC:0
CBFB  C0 63     CPY #$63                        A:44 X:58 Y:63 P:67 SP:FB PPU:  0, 00 CYC:0
CBFD  D0 11     BNE $CC10                       A:44 X:58 Y:63 P:67 SP:FB PPU:  0, 00 CYC:0
CBFF  CA        DEX                             A:44 X:58 Y:63 P:67 SP:FB PPU:  0, 00 CYC:0
CC00  C8        INY                             A:44 X:57 Y:63 P:65 SP:FB PPU:  0, 00 CYC:0
CC01  E0 57     CPX #$57                        A:44 X:57 Y:64 P:65 SP:FB PPU:  0, 00 CYC:0
CC03  D0 0B     BNE $CC10                       A:44 X:57 Y:64 P:67 SP:FB PPU:  0, 00 CYC:0
CC05  C0 64     CPY #$64                        A:44 X:57 Y:64 P:67 SP:FB PPU:  0, 00 CYC:0
CC07  D0 07     BNE $CC10                       A:44 X:57 Y:64 P:67 SP:FB PPU:  0, 00 CYC:0
CC09  C9 44     CMP #$44                        A:44 X:57 Y:64 P:67 SP:FB PPU:  0, 00 CYC:0
CC0B  D0 03     BNE $CC10                       A:44 X:57 Y:64 P:67 SP:FB PPU:  0, 00 CYC:0
CC0D  4C 14 CC  JMP $CC14                       A:44 X:57 Y:64 P:67 SP:FB PPU:  0, 00 CYC:0
CC14  EA        NOP                             A:44 X:57 Y:64 P:67 SP:FB PPU:  0, 00 CYC:0
CC15  38        SEC                             A:44 X:57 Y:64 P:67 SP:FB PPU:  0, 00 CYC:0
CC16  A2 69     LDX #$69                        A:44 X:57 Y:64 P:67 SP:FB PPU:  0, 00 CYC:0
CC18  A9 96     LDA #$96                        A:44 X:69 Y:64 P:65 SP:FB PPU:  0, 00 CYC:0
CC1A  24 01     BIT $01 = 00                    A:96 X:69 Y:64 P:E5 SP:FB PPU:  0, 00 CYC:0
CC1C  A0 FF     LDY #$FF                        A:96 X:69 Y:64 P:E5 SP:FB PPU:  0, 00 CYC:0
CC1E  C8        INY                             A:96 X:69 Y:FF P:E5 SP:FB PPU:  0, 00 CYC:0
CC1F  D0 3D     BNE $CC5E                       A:96 X:69 Y:00 P:67 SP:FB PPU:  0, 00 CYC:0
CC21  30 3B     BMI $CC5E                       A:96 X:69 Y:00 P:67 SP:FB PPU:  0, 00 CYC:0
CC23  90 39     BCC $CC5E                       A:96 X:69 Y:00 P:67 SP:FB PPU:  0, 00 CYC:0
CC25  50 37     BVC $CC5E                       A:96 X:69 Y:00 P:67 SP:FB PPU:  0, 00 CYC:0
CC27  C0 00     CPY #$00                        A:96 X:69 Y:00 P:67 SP:FB PPU:  0, 00 CYC:0
CC29  D0 33     BNE $CC5E                       A:96 X:69 Y:00 P:67 SP:FB PPU:  0, 00 CYC:0
CC2B  C8        INY                             A:96 X:69 Y:00 P:67 SP:FB PPU:  0, 00 CYC:0
CC2C  F0 30     BEQ $CC5E                       A:96 X:69 Y:01 P:65 SP:FB PPU:  0, 00 CYC:0
CC2E  30 2E     BMI $CC5E                       A:96 X:69 Y:01 P:65 SP:FB PPU:  0, 00 CYC:0
CC30  90 2C     BCC $CC5E                       A:96 X:69 Y:01 P:65 SP:FB PPU:  0, 00 CYC:0
CC32  50 2A     BVC $CC5E                       A:96 X:69 Y:01 P:65 SP:FB PPU:  0, 00 CYC:0
CC34  18        CLC                             A:96 X:69 Y:01 P:65 SP:FB PPU:  0, 00 CYC:0
CC35  B8        CLV                             A:96 X:69 Y:01 P:64 SP:FB PPU:  0, 00 CYC:0
CC36  A0 00     LDY #$00                        A:96 X:69 Y:01 P:24 SP:FB PPU:  0, 00 CYC:0
CC38  88        DEY                             A:96 X:69 Y:00 P:26 SP:FB PPU:  0, 00 CYC:0
CC39  F0 23     BEQ $CC5E                       A:96 X:69 Y:FF P:A4 SP:FB PPU:  0, 00 CYC:0
CC3B  10 21     BPL $CC5E                       A:96 X:69 Y:FF P:A4 SP:FB PPU:  0, 00 CYC:0
CC3D  B0 1F     BCS $CC5E                       A:96 X:69 Y:FF P:A4 SP:FB PPU:  0, 00 CYC:0
CC3F  70 1D     BVS $CC5E                       A:96 X:69 Y:FF P:A4 SP:FB PPU:  0, 00 CYC:0
CC41  C0 FF     CPY #$FF                        A:96 X:69 Y:FF P:A4 SP:FB PPU:  0, 00 CYC:0
CC43  D0 19     BNE $CC5E                       A:96 X:69 Y:FF P:27 SP:FB PPU:  0, 00 CYC:0
CC45  18        CLC                             A:96 X:69 Y:FF P:27 SP:FB PPU:  0, 00 CYC:0
CC46  88        DEY                             A:96 X:69 Y:FF P:26 SP:FB PPU:  0, 00 CYC:0
CC47  F0 15     BEQ $CC5E                       A:96 X:69 Y:FE P:A4 SP:FB PPU:  0, 00 CYC:0
CC49  10 13     BPL $CC5E                       A:96 X:69 Y:FE P:A4 SP:FB PPU:  0, 00 CYC:0
CC4B  B0 11     BCS $CC5E                       A:96 X:69 Y:FE P:A4 SP:FB PPU:  0, 00 CYC:0
CC4D  70 0F     BVS $CC5E                       A:96 X:69 Y:FE P:A4 SP:FB PPU:  0, 00 CYC:0
CC4F  C0 FE     CPY #$FE                        A:96 X:69 Y:FE P:A4 SP:FB PPU:  0, 00 CYC:0
CC51  D0 0B     BNE $CC5E                       A:96 X:69 Y:FE P:27 SP:FB PPU:  0, 00 CYC:0
CC53  C9 96     CMP #$96                        A:96 X:69 Y:FE P:27 SP:FB PPU:  0, 00 CYC:0
CC55  D0 07     BNE $CC5E                       A:96 X:69 Y:FE P:27 SP:FB PPU:  0, 00 CYC:0
CC57  E0 69     CPX #$69                        A:96 X:69 Y:FE P:27 SP:FB PPU:  0, 00 CYC:0
CC59  D0 03     BNE $CC5E                       A:96 X:69 Y:FE P:27 SP:FB PPU:  0, 00 CYC:0
CC5B  4C 62 CC  JMP $CC62                       A:96 X:69 Y:FE P:27 SP:FB PPU:  0, 00 CYC:0
CC62  EA        NOP                             A:96 X:69 Y:FE P:27 SP:FB PPU:  0, 00 CYC:0
CC63  38        SEC                             A:96 X:69 Y:FE P:27 SP:FB PPU:  0, 00 CYC:0
CC64  A0 69     LDY #$69                        A:96 X:69 Y:FE P:27 SP:FB PPU:  0, 00 CYC:0
CC66  A9 96     LDA #$96                        A:96 X:69 Y:69 P:25 SP:FB PPU:  0, 00 CYC:0
CC68  24 01     BIT $01 = 00                    A:96 X:69 Y:69 P:A5 SP:FB PPU:  0, 00 CYC:0
CC6A  A2 FF     LDX #$FF                        A:96 X:69 Y:69 P:E5 SP:FB PPU:  0, 00 CYC:0
CC6C  E8        INX                             A:96 X:FF Y:69 P:E5 SP:FB PPU:  0, 00 CYC:0
CC6D  D0 3D     BNE $CCAC                       A:96 X:00 Y:69 P:67 SP:FB PPU:  0, 00 CYC:0
CC6F  30 3B     BMI $CCAC                       A:96 X:00 Y:69 P:67 SP:FB PPU:  0, 00 CYC:0
CC71  90 39     BCC $CCAC                       A:96 X:00 Y:69 P:67 SP:FB PPU:  0, 00 CYC:0
CC73  50 37     BVC $CCAC                       A:96 X:00 Y:69 P:67 SP:FB PPU:  0, 00 CYC:0
CC75  E0 00     CPX #$00                        A:96 X:00 Y:69 P:67 SP:FB PPU:  0, 00 CYC:0
CC77  D0 33     BNE $CCAC                       A:96 X:00 Y:69 P:67 SP:FB PPU:  0, 00 CYC:0
CC79  E8        INX                             A:96 X:00 Y:69 P:67 SP:FB PPU:  0, 00 CYC:0
CC7A  F0 30     BEQ $CCAC                       A:96 X:01 Y:69 P:65 SP:FB PPU:  0, 00 CYC:0
CC7C  30 2E     BMI $CCAC                       A:96 X:01 Y:69 P:65 SP:FB PPU:  0, 00 CYC:0
CC7E  90 2C     BCC $CCAC                       A:96 X:01 Y:69 P:65 SP:FB PPU:  0, 00 CYC:0
CC80  50 2A     BVC $CCAC                       A:96 X:01 Y:69 P:65 SP:FB PPU:  0, 00 CYC:0
CC82  18        CLC                             A:96 X:01 Y:69 P:65 SP:FB PPU:  0, 00 CYC:0
CC83  B8        CLV                             A:96 X:01 Y:69 P:64 SP:FB PPU:  0, 00 CYC:0
CC84  A2 00     LDX #$00                        A:96 X:01 Y:69 P:24 SP:FB PPU:  0, 00 CYC:0
CC86  CA        DEX                             A:96 X:00 Y:69 P:26 SP:FB PPU:  0, 00 CYC:0
CC87  F0 23     BEQ $CCAC                       A:96 X:FF Y:69 P:A4 SP:FB PPU:  0, 00 CYC:0
CC89  10 21     BPL $CCAC                       A:96 X:FF Y:69 P:A4 SP:FB PPU:  0, 00 CYC:0
CC8B  B0 1F     BCS $CCAC                       A:96 X:FF Y:69 P:A4 SP:FB PPU:  0, 00 CYC:0
CC8D  70 1D     BVS $CCAC                       A:96 X:FF Y:69 P:A4 SP:FB PPU:  0, 00 CYC:0
CC8F  E0 FF     CPX #$FF                        A:96 X:FF Y:69 P:A4 SP:FB PPU:  0, 00 CYC:0
CC91  D0 19     BNE $CCAC                       A:96 X:FF Y:69 P:27 SP:FB PPU:  0, 00 CYC:0
CC93  18        CLC                             A:96 X:FF Y:69 P:27 SP:FB PPU:  0, 00 CYC:0
CC94  CA        DEX                             A:96 X:FF Y:69 P:26 SP:FB PPU:  0, 00 CYC:0
CC95  F0 15     BEQ $CCAC                       A:96 X:FE Y:69 P:A4 SP:FB PPU:  0, 00 CYC:0
CC97  10 13     BPL $CCAC                       A:96 X:FE Y:69 P:A4 SP:FB PPU:  0, 00 CYC:0
CC99  B0 11     BCS $CCAC                       A:96 X:FE Y:69 P:A4 SP:FB PPU:  0, 00 CYC:0
CC9B  70 0F     BVS $CCAC                       A:96 X:FE Y:69 P:A4 SP:FB PPU:  0, 00 CYC:0
CC9D  E0 FE     CPX #$FE                        A:96 X:FE Y:69 P:A4 SP:FB PPU:  0, 00 CYC:0
CC9F  D0 0B     BNE $CCAC                       A:96 X:FE Y:69 P:27 SP:FB PPU:  0, 00 CYC:0
CCA1  C9 96     CMP #$96                        A:96 X:FE Y:69 P:27 SP:FB PPU:  0, 00 CYC:0
CCA3  D0 07     BNE $CCAC                       A:96 X:FE Y:69 P:27 SP:FB PPU:  0, 00 CYC:0
CCA5  C0 69     CPY #$69                        A:96 X:FE Y:69 P:27 SP:FB PPU:  0, 00 CYC:0
CCA7  D0 03     BNE $CCAC                       A:96 X:FE Y:69 P:27 SP:FB PPU:  0, 00 CYC:0
CCA9  4C B0 CC  JMP $CCB0                       A:96 X:FE Y:69 P:27 SP:FB PPU:  0, 00 CYC:0
CCB0  EA        NOP                             A:96 X:FE Y:69 P:27 SP:FB PPU:  0, 00 CYC:0
CCB1  A9 85     LDA #$85                        A:96 X:FE Y:69 P:27 SP:FB PPU:  0, 00 CYC:0
CCB3  A2 34     LDX #$34                        A:85 X:FE Y:69 P:A5 SP:FB PPU:  0, 00 CYC:0
CCB5  A0 99     LDY #$99                        A:85 X:34 Y:69 P:25 SP:FB PPU:  0, 00 CYC:0
CCB7  18        CLC                             A:85 X:34 Y:99 P:A5 SP:FB PPU:  0, 00 CYC:0
CCB8  24 01     BIT $01 = 00                    A:85 X:34 Y:99 P:A4 SP:FB PPU:  0, 00 CYC:0
CCBA  A8        TAY                             A:85 X:34 Y:99 P:E4 SP:FB PPU:  0, 00 CYC:0
CCBB  F0 2E     BEQ $CCEB                       A:85 X:34 Y:85 P:E4 SP:FB PPU:  0, 00 CYC:0
CCBD  B0 2C     BCS $CCEB                       A:85 X:34 Y:85 P:E4 SP:FB PPU:  0, 00 CYC:0
CCBF  50 2A     BVC $CCEB                       A:85 X:34 Y:85 P:E4 SP:FB PPU:  0, 00 CYC:0
CCC1  10 28     BPL $CCEB                       A:85 X:34 Y:85 P:E4 SP:FB PPU:  0, 00 CYC:0
CCC3  C9 85     CMP #$85                        A:85 X:34 Y:85 P:E4 SP:FB PPU:  0, 00 CYC:0
CCC5  D0 24     BNE $CCEB                       A:85 X:34 Y:85 P:67 SP:FB PPU:  0, 00 CYC:0
CCC7  E0 34     CPX #$34                        A:85 X:34 Y:85 P:67 SP:FB PPU:  0, 00 CYC:0
CCC9  D0 20     BNE $CCEB                       A:85 X:34 Y:85 P:67 SP:FB PPU:  0, 00 CYC:0
CCCB  C0 85     CPY #$85                        A:85 X:34 Y:85 P:67 SP:FB PPU:  0, 00 CYC:0
CCCD  D0 1C     BNE $CCEB                       A:85 X:34 Y:85 P:67 SP:FB PPU:  0, 00 CYC:0
CCCF  A9 00     LDA #$00                        A:85 X:34 Y:85 P:67 SP:FB PPU:  0, 00 CYC:0
CCD1  38        SEC                             A:00 X:34 Y:85 P:67 SP:FB PPU:  0, 00 CYC:0
CCD2  B8        CLV                             A:00 X:34 Y:85 P:67 SP:FB PPU:  0, 00 CYC:0
CCD3  A8        TAY                             A:00 X:34 Y:85 P:27 SP:FB PPU:  0, 00 CYC:0
CCD4  D0 15     BNE $CCEB                       A:00 X:34 Y:00 P:27 SP:FB PPU:  0, 00 CYC:0
CCD6  90 13     BCC $CCEB                       A:00 X:34 Y:00 P:27 SP:FB PPU:  0, 00 CYC:0
CCD8  70 11     BVS $CCEB                       A:00 X:34 Y:00 P:27 SP:FB PPU:  0, 00 CYC:0
CCDA  30 0F     BMI $CCEB                       A:00 X:34 Y:00 P:27 SP:FB PPU:  0, 00 CYC:0
CCDC  C9 00     CMP #$00                        A:00 X:34 Y:00 P:27 SP:FB PPU:  0, 00 CYC:0
CCDE  D0 0B     BNE $CCEB                       A:00 X:34 Y:00 P:27 SP:FB PPU:  0, 00 CYC:0
CCE0  E0 34     CPX #$34                        A:00 X:34 Y:00 P:27 SP:FB PPU:  0, 00 CYC:0
CCE2  D0 07     BNE $CCEB                       A:00 X:34 Y:00 P:27 SP:FB PPU:  0, 00 CYC:0
CCE4  C0 00     CPY #$00                        A:00 X:34 Y:00 P:27 SP:FB PPU:  0, 00 CYC:0
CCE6  D0 03     BNE $CCEB                       A:00 X:34 Y:00 P:27 SP:FB PPU:  0, 00 CYC:0
CCE8  4C EF CC  JMP $CCEF                       A:00 X:34 Y:00 P:27 SP:FB PPU:  0, 00 CYC:0
CCEF  EA        NOP                             A:00 X:34 Y:00 P:27 SP:FB PPU:  0, 00 CYC:0
CCF0  A9 85     LDA #$85                        A:00 X:34 Y:00 P:27 SP:FB PPU:  0, 00 CYC:0
CCF2  A2 34     LDX #$34                        A:85 X:34 Y:00 P:A5 SP:FB PPU:  0, 00 CYC:0
CCF4  A0 99     LDY #$99                        A:85 X:34 Y:00 P:25 SP:FB PPU:  0, 00 CYC:0
CCF6  18        CLC                             A:85 X:34 Y:99 P:A5 SP:FB PPU:  0, 00 CYC:0
CCF7  24 01     BIT $01 = 00                    A:85 X:34 Y:99 P:A4 SP:FB PPU:  0, 00 CYC:0
CCF9  AA        TAX                             A:85 X:34 Y:99 P:E4 SP:FB PPU:  0, 00 CYC:0
CCFA  F0 2E     BEQ $CD2A                       A:85 X:85 Y:99 P:E4 SP:FB PPU:  0, 00 CYC:0
CCFC  B0 2C     BCS $CD2A                       A:85 X:85 Y:99 P:E4 SP:FB PPU:  0, 00 CYC:0
CCFE  50 2A     BVC $CD2A                       A:85 X:85 Y:99 P:E4 SP:FB PPU:  0, 00 CYC:0
CD00  10 28     BPL $CD2A                       A:85 X:85 Y:99 P:E4 SP:FB PPU:  0, 00 CYC:0
CD02  C9 85     CMP #$85                        A:85 X:85 Y:99 P:E4 SP:FB PPU:  0, 00 CYC:0
CD04  D0 24     BNE $CD2A                       A:85 X:85 Y:99 P:67 SP:FB PPU:  0, 00 CYC:0
CD06  E0 85     CPX #$85                        A:85 X:85 Y:99 P:67 SP:FB PPU:  0, 00 CYC:0
CD08  D0 20     BNE $CD2A                       A:85 X:85 Y:99 P:67 SP:FB PPU:  0, 00 CYC:0
CD0A  C0 99     CPY #$99                        A:85 X:85 Y:99 P:67 SP:FB PPU:  0, 00 CYC:0
CD0C  D0 1C     BNE $CD2A                       A:85 X:85 Y:99 P:67 SP:FB PPU:  0, 00 CYC:0
CD0E  A9 00     LDA #$00                        A:85 X:85 Y:99 P:67 SP:FB PPU:  0, 00 CYC:0
CD10  38        SEC                             A:00 X:85 Y:99 P:67 SP:FB PPU:  0, 00 CYC:0
CD11  B8        CLV                             A:00 X:85 Y:99 P:67 SP:FB PPU:  0, 00 CYC:0
CD12  AA        TAX                             A:00 X:85 Y:99 P:27 SP:FB PPU:  0, 00 CYC:0
CD13  D0 15     BNE $CD2A                       A:00 X:00 Y:99 P:27 SP:FB PPU:  0, 00 CYC:0
CD15  90 13     BCC $CD2A                       A:00 X:00 Y:99 P:27 SP:FB PPU:  0, 00 CYC:0
CD17  70 11     BVS $CD2A                       A:00 X:00 Y:99 P:27 SP:FB PPU:  0, 00 CYC:0
CD19  30 0F     BMI $CD2A                       A:00 X:00 Y:99 P:27 SP:FB PPU:  0, 00 CYC:0
CD1B  C9 00     CMP #$00                        A:00 X:00 Y:99 P:27 SP:FB PPU:  0, 00 CYC:0
CD1D  D0 0B     BNE $CD2A                       A:00 X:00 Y:99 P:27 SP:FB PPU:  0, 00 CYC:0
CD1F  E0 00     CPX #$00                        A:00 X:00 Y:99 P:27 SP:FB PPU:  0, 00 CYC:0
CD21  D0 07     BNE $CD2A                       A:00 X:00 Y:99 P:27 SP:FB PPU:  0, 00 CYC:0
CD23  C0 99     CPY #$99                        A:00 X:00 Y:99 P:27 SP:FB PPU:  0, 00 CYC:0
CD25  D0 03     BNE $CD2A                       A:00 X:00 Y:99 P:27 SP:FB PPU:  0, 00 CYC:0
CD27  4C 2E CD  JMP $CD2E                       A:00 X:00 Y:99 P:27 SP:FB PPU:  0, 00 CYC:0
CD2E  EA        NOP                             A:00 X:00 Y:99 P:27 SP:FB PPU:  0, 00 CYC:0
CD2F  A9 85     LDA #$85                        A:00 X:00 Y:99 P:27 SP:FB PPU:  0, 00 CYC:0
CD31  A2 34     LDX #$34                        A:85 X:00 Y:99 P:A5 SP:FB PPU:  0, 00 CYC:0
CD33  A0 99     LDY #$99                        A:85 X:34 Y:99 P:25 SP:FB PPU:  0, 00 CYC:0
CD35  18        CLC                             A:85 X:34 Y:99 P:A5 SP:FB PPU:  0, 00 CYC:0
CD36  24 01     BIT $01 = 00                    A:85 X:34 Y:99 P:A4 SP:FB PPU:  0, 00 CYC:0
CD38  98        TYA                             A:85 X:34 Y:99 P:E4 SP:FB PPU:  0, 00 CYC:0
CD39  F0 2E     BEQ $CD69                       A:99 X:34 Y:99 P:E4 SP:FB PPU:  0, 00 CYC:0
CD3B  B0 2C     BCS $CD69                       A:99 X:34 Y:99 P:E4 SP:FB PPU:  0, 00 CYC:0
CD3D  50 2A     BVC $CD69                       A:99 X:34 Y:99 P:E4 SP:FB PPU:  0, 00 CYC:0
